time,elapsed,host,local,round,x,y,z,trip,stun,mash,holding,shoeActive,shoeState,shoeX,shoeY,shoeZ,episode,ack,map,swimming,swimAnimation,floating,eyeY
40.1097,23.3913,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
40.1606,23.4422,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
40.2114,23.4930,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
40.2628,23.5444,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
40.3130,23.5946,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
40.3642,23.6458,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
40.4146,23.6962,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
40.4650,23.7466,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
40.5151,23.7967,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
40.5659,23.8475,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
40.6167,23.8983,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
40.6670,23.9486,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
40.7176,23.9992,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
40.7677,24.0493,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
40.8181,24.0997,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
40.8692,24.1508,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
40.9195,24.2011,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
40.9705,24.2522,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
41.0214,24.3030,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
41.0717,24.3534,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
41.1221,24.4037,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
41.1725,24.4541,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
