frame,real_seconds,art_scale,target_scale,dust_vertices,cloud_x,cloud_y
388,11.330550,1.000000,1.000000,377,13.686410,0.695591
389,11.373700,1.000000,1.000000,377,13.733010,0.698042
390,11.373980,1.000000,1.000000,377,13.736330,0.698217
391,11.417070,1.000000,1.000000,377,13.772960,0.700144
392,11.461120,1.000000,1.000000,377,13.819490,0.702593
393,11.461380,1.000000,1.000000,377,13.822810,0.702768
394,11.504960,1.000000,1.000000,377,13.859390,0.704694
395,11.548260,1.000000,1.000000,377,13.909180,0.707317
396,11.548530,1.000000,1.000000,377,13.912500,0.707492
397,11.591580,1.000000,1.000000,377,13.949030,0.709416
398,11.635650,1.000000,1.000000,377,13.995460,0.711864
399,11.635940,1.000000,1.000000,377,13.998780,0.712039
400,11.680360,1.000000,1.000000,377,14.035270,0.713963
401,11.724400,1.000000,1.000000,377,14.081660,0.716410
402,11.724670,1.000000,1.000000,377,14.084970,0.716584
403,11.767960,1.000000,1.000000,377,14.121410,0.718507
404,11.812320,1.000000,1.000000,377,14.171060,0.721128
405,11.812670,1.000000,1.000000,377,14.174360,0.721302
406,11.856260,1.000000,1.000000,377,14.210760,0.723225
407,11.899630,1.000000,1.000000,377,14.257040,0.725669
408,11.899890,1.000000,1.000000,377,14.260350,0.725844
409,11.942700,1.000000,1.000000,377,14.296720,0.727766
410,11.986530,1.000000,1.000000,377,14.342940,0.730209
411,11.986800,1.000000,1.000000,377,14.346240,0.730384
