time,elapsed,host,local,round,held,charge,spin,torso,arm,shoeState,shoeSpin,bodyX,bodyZ
22.7732,11.6147,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
22.8234,11.6649,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
22.8751,11.7167,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
22.9262,11.7677,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
22.9766,11.8181,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
23.0285,11.8700,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
23.0789,11.9205,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
23.1296,11.9711,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
23.1812,12.0228,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
23.2329,12.0744,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
23.2829,12.1244,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
23.3331,12.1746,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
23.3837,12.2253,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
